UNIT_ID,COMPONENT_LOCATION,HOURS_OIL,Fe (ppm),Cu (ppm),Si (ppm),TBN (mgKOH/g),V100C,BUDGET,HORAS_VIDA_ACTUAL,REMAINING_LIFE
AH2714,MOTOR DIESEL,103,31,2,2,8.6,14.3,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,147,8,1,1,8.9,13.2,15000,14022.0,978.0
AH2718,MOTOR DIESEL,245,19,12,3,8.9,14.4,15000,5974.0,9026.0
AH2719,MOTOR DIESEL,254,10,1,1,9.2,14.6,15000,774.0,14226.0
AH2725,MOTOR DIESEL,269,43,49,5,8.1,13.4,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,284,12,1,1,8.8,14.0,15000,9160.0,5840.0
AH2715,MOTOR DIESEL,0,54,23,4,9.0,14.6,15000,10113.0,4887.0
AH2715,MOTOR DIESEL,108,9,5,5,10.0,15.5,15000,10113.0,4887.0
AH2714,MOTOR DIESEL,263,47,3,2,8.2,14.0,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,285,15,1,1,8.5,13.6,15000,14022.0,978.0
AH2715,MOTOR DIESEL,249,21,5,1,7.9,14.1,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,171,7,1,1,9.3,14.6,15000,1268.0,13732.0
AH2719,MOTOR DIESEL,58,3,0,0,9.9,14.8,15000,774.0,14226.0
AH2718,MOTOR DIESEL,39,8,11,2,9.4,14.7,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,76,11,1,1,9.5,14.4,15000,7501.0,7499.0
AH2719,MOTOR DIESEL,192,9,1,2,9.2,14.1,15000,774.0,14226.0
AH2725,MOTOR DIESEL,413,74,58,13,7.4,13.0,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,295,18,1,2,8.4,13.8,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,261,14,1,3,8.9,14.9,15000,1268.0,13732.0
AH2718,MOTOR DIESEL,106,9,14,3,9.4,14.6,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,284,46,3,2,8.0,14.1,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,83,4,0,1,9.5,14.5,15000,14022.0,978.0
AH2718,MOTOR DIESEL,67,5,13,3,9.8,14.6,15000,5974.0,9026.0
AH2715,MOTOR DIESEL,278,19,4,2,7.9,14.2,15000,10113.0,4887.0
AH2719,MOTOR DIESEL,1,5,1,2,9.1,13.6,15000,774.0,14226.0
AH2718,MOTOR DIESEL,276,52,77,11,8.1,14.6,15000,5974.0,9026.0
AH2719,MOTOR DIESEL,122,6,1,2,9.4,14.0,15000,774.0,14226.0
AH2721,MOTOR DIESEL,247,13,1,1,8.2,13.4,15000,14022.0,978.0
AH2729,MOTOR DIESEL,118,4,1,1,9.4,14.5,15000,9160.0,5840.0
AH2718,MOTOR DIESEL,212,34,81,10,8.6,14.7,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,168,17,2,0,9.1,14.4,15000,7501.0,7499.0
AH2725,MOTOR DIESEL,55,8,7,7,9.6,14.6,15000,7138.0,7862.0
